,characteristics,genotype,genotype.ch1
GSM3118997,"Wildtype homecage control harvested at ZT hour 5, replicate 1",WT,WT
GSM3118998,"Wildtype homecage control harvested at ZT hour 5, replicate 2",WT,WT
GSM3118999,"Wildtype homecage control harvested at ZT hour 5, replicate 3",WT,WT
GSM3119000,"Wildtype homecage control harvested at ZT hour 5, replicate 4",WT,WT
GSM3119001,"Wildtype homecage control harvested at ZT hour 5, replicate 5",WT,WT
GSM3119002,"Shank3 mutant homecage control at ZT hour 5, replicate 1",Shank3 Mutant,Shank3 Mutant
GSM3119003,"Shank3 mutant homecage control at ZT hour 5, replicate 2",Shank3 Mutant,Shank3 Mutant
GSM3119004,"Shank3 mutant homecage control at ZT hour 5, replicate 3",Shank3 Mutant,Shank3 Mutant
GSM3119005,"Shank3 mutant homecage control at ZT hour 5, replicate 4",Shank3 Mutant,Shank3 Mutant
GSM3119006,"Shank3 mutant homecage control at ZT hour 5, replicate 5",Shank3 Mutant,Shank3 Mutant
GSM3119007,"Wildtype harvested following 5 hours of sleep deprivation, replicate 1",WT,WT
GSM3119008,"Wildtype harvested following 5 hours of sleep deprivation, replicate 2",WT,WT
GSM3119009,"Wildtype harvested following 5 hours of sleep deprivation, replicate 3",WT,WT
GSM3119010,"Wildtype harvested following 5 hours of sleep deprivation, replicate 4",WT,WT
GSM3119011,"Wildtype harvested following 5 hours of sleep deprivation, replicate 5",WT,WT
GSM3119012,"Shank3 mutant harvested following 5 hours of sleep deprivation, replicate 1",Shank3 Mutant,Shank3 Mutant
GSM3119013,"Shank3 mutant harvested following 5 hours of sleep deprivation, replicate 2",Shank3 Mutant,Shank3 Mutant
GSM3119014,"Shank3 mutant harvested following 5 hours of sleep deprivation, replicate 3",Shank3 Mutant,Shank3 Mutant
GSM3119015,"Shank3 mutant harvested following 5 hours of sleep deprivation, replicate 4",Shank3 Mutant,Shank3 Mutant
GSM3119016,"Shank3 mutant harvested following 5 hours of sleep deprivation, replicate 5",Shank3 Mutant,Shank3 Mutant